algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,scale
Belief Propagation,100404,55645,False,0.97,4,337.48,922.32,0.40
Belief Propagation,100500,50000,False,0.95,7,526.99,830.00,0.50
Belief Propagation,100500,75000,True,1.00,5,560.78,1245.00,0.50
Belief Propagation,100500,62500,False,0.99,6,564.77,1037.50,0.50
Belief Propagation,100500,68750,True,1.00,6,620.60,1141.25,0.50
Belief Propagation,100500,65625,False,0.97,4,398.73,1089.38,0.50
Belief Propagation,100500,67188,True,1.00,7,699.96,1115.32,0.50
Belief Propagation,100500,66407,True,1.00,7,692.29,1102.36,0.50
Belief Propagation,100500,66016,True,1.00,5,495.37,1095.87,0.50
Belief Propagation,100500,65821,False,1.00,6,591.69,1092.63,0.50
Belief Propagation,100501,50000,False,0.96,10,747.13,833.50,0.50
Belief Propagation,100501,75000,True,1.00,5,560.37,1250.25,0.50
Belief Propagation,100501,62500,True,1.00,6,559.54,1041.88,0.50
Belief Propagation,100501,56250,True,1.00,7,589.38,937.69,0.50
Belief Propagation,100501,53125,False,0.98,10,790.50,885.59,0.50
Belief Propagation,100501,54688,False,0.99,10,812.50,911.65,0.50
Belief Propagation,100501,55469,False,0.97,5,422.63,924.67,0.50
Belief Propagation,100501,55860,True,1.00,10,834.15,931.19,0.50
Belief Propagation,100501,55665,False,0.96,5,421.37,927.94,0.50
Belief Propagation,100502,50000,False,0.95,6,452.04,831.50,0.50
Belief Propagation,100502,75000,True,1.00,5,561.86,1247.25,0.50
Belief Propagation,100502,62500,True,1.00,8,744.19,1039.38,0.50
Belief Propagation,100502,56250,False,0.98,5,422.50,935.44,0.50
Belief Propagation,100502,59375,False,0.99,7,619.81,987.41,0.50
Belief Propagation,100502,60938,False,0.99,7,639.24,1013.40,0.50
Belief Propagation,100502,61719,False,0.96,4,371.92,1026.39,0.50
Belief Propagation,100502,62110,True,1.00,7,647.87,1032.89,0.50
Belief Propagation,100502,61915,False,1.00,9,827.01,1029.65,0.50
Belief Propagation,100503,50000,False,0.96,8,597.02,835.50,0.50
Belief Propagation,100503,75000,True,1.00,4,457.48,1253.25,0.50
Belief Propagation,100503,62500,True,1.00,6,561.11,1044.38,0.50
Belief Propagation,100503,56250,True,1.00,8,671.11,939.94,0.50
Belief Propagation,100503,53125,False,0.98,9,713.36,887.72,0.50
Belief Propagation,100503,54688,False,0.95,5,410.69,913.84,0.50
Belief Propagation,100503,55469,False,0.99,12,986.63,926.89,0.50
Belief Propagation,100503,55860,False,0.96,5,421.60,933.42,0.50
Belief Propagation,100504,50000,False,0.97,11,818.10,830.00,0.50
Belief Propagation,100504,75000,True,1.00,6,668.31,1245.00,0.50
Belief Propagation,100504,62500,False,0.99,7,645.46,1037.50,0.50
Belief Propagation,100504,68750,False,0.97,4,415.70,1141.25,0.50
Belief Propagation,100504,71875,True,1.00,6,639.34,1193.12,0.50
Belief Propagation,100504,70313,True,1.00,5,521.90,1167.20,0.50
Belief Propagation,100504,69532,True,1.00,6,619.84,1154.23,0.50
Belief Propagation,100504,69141,True,1.00,7,720.45,1147.74,0.50
Belief Propagation,100504,68946,True,1.00,6,617.87,1144.50,0.50
Belief Propagation,100504,68848,True,1.00,7,713.95,1142.88,0.50
Belief Propagation,100504,68799,True,1.00,8,812.82,1142.06,0.50
Belief Propagation,100504,68775,False,1.00,7,711.59,1141.66,0.50
Greedy Search,100000,1000000,True,1.00,71,398.19,16722.00,0.00
Greedy Search,100000,500000,True,1.00,74,197.84,8361.00,0.00
Greedy Search,100000,250000,True,1.00,72,96.08,4180.50,0.00
Greedy Search,100000,125000,True,1.00,70,46.25,2090.25,0.00
Greedy Search,100000,62500,True,1.00,71,23.47,1045.12,0.00
Greedy Search,100000,31250,True,1.00,70,11.64,522.56,0.00
Greedy Search,100000,15625,False,0.79,200,15.86,261.28,0.00
Greedy Search,100000,23438,True,1.00,78,9.61,391.93,0.00
Greedy Search,100000,19532,True,1.00,69,7.20,326.61,0.00
Greedy Search,100000,17579,False,0.86,200,17.87,293.96,0.00
Greedy Search,100000,18556,True,1.00,87,8.54,310.29,0.00
Greedy Search,100000,18068,True,1.00,73,7.14,302.13,0.00
Greedy Search,100000,17824,False,0.89,200,18.06,298.05,0.00
Greedy Search,100000,17946,True,1.00,133,12.17,300.09,0.00
Greedy Search,100000,17885,False,0.90,200,18.14,299.07,0.00
Greedy Search,100000,17916,True,1.00,75,7.15,299.59,0.00
Greedy Search,100000,17901,False,0.96,200,17.97,299.34,0.00
Greedy Search,100000,17909,True,1.00,185,16.51,299.47,0.00
Greedy Search,100000,17905,True,1.00,61,5.99,299.41,0.00
Greedy Search,100000,17903,False,0.94,200,18.01,299.37,0.00
Greedy Search,100000,17904,True,1.00,71,6.76,299.39,0.00
Greedy Search,100001,1000000,True,1.00,72,401.72,16673.00,0.00
Greedy Search,100001,500000,True,1.00,70,188.84,8336.50,0.00
Greedy Search,100001,250000,True,1.00,70,93.76,4168.25,0.00
Greedy Search,100001,125000,True,1.00,75,49.11,2084.12,0.00
Greedy Search,100001,62500,True,1.00,72,23.73,1042.06,0.00
Greedy Search,100001,31250,True,1.00,76,12.44,521.03,0.00
Greedy Search,100001,15625,False,0.76,200,15.73,260.52,0.00
Greedy Search,100001,23438,True,1.00,74,9.12,390.78,0.00
Greedy Search,100001,19532,True,1.00,77,7.85,325.66,0.00
Greedy Search,100001,17579,False,0.85,200,17.75,293.09,0.00
Greedy Search,100001,18556,True,1.00,64,6.43,309.38,0.00
Greedy Search,100001,18068,False,0.96,200,18.04,301.25,0.00
Greedy Search,100001,18312,False,0.93,200,18.48,305.32,0.00
Greedy Search,100001,18434,True,1.00,180,16.46,307.35,0.00
Greedy Search,100001,18373,True,1.00,98,9.35,306.33,0.00
Greedy Search,100001,18343,False,0.93,200,18.43,305.83,0.00
Greedy Search,100001,18358,False,0.90,200,18.48,306.08,0.00
Greedy Search,100001,18366,True,1.00,100,9.46,306.22,0.00
Greedy Search,100001,18362,True,1.00,188,17.17,306.15,0.00
Greedy Search,100001,18360,False,0.88,200,18.62,306.12,0.00
Greedy Search,100001,18361,False,0.92,200,18.58,306.13,0.00
Greedy Search,100002,1000000,True,1.00,74,399.63,16716.00,0.00
Greedy Search,100002,500000,True,1.00,74,193.84,8358.00,0.00
Greedy Search,100002,250000,True,1.00,74,96.67,4179.00,0.00
Greedy Search,100002,125000,True,1.00,86,54.84,2089.50,0.00
Greedy Search,100002,62500,True,1.00,65,21.61,1044.75,0.00
Greedy Search,100002,31250,True,1.00,76,12.33,522.38,0.00
Greedy Search,100002,15625,False,0.80,200,15.63,261.19,0.00
Greedy Search,100002,23438,True,1.00,72,8.85,391.79,0.00
Greedy Search,100002,19532,True,1.00,71,7.29,326.50,0.00
Greedy Search,100002,17579,False,0.87,200,17.73,293.85,0.00
Greedy Search,100002,18556,True,1.00,76,7.36,310.18,0.00
Greedy Search,100002,18068,False,0.95,200,17.90,302.02,0.00
Greedy Search,100002,18312,True,1.00,87,8.17,306.10,0.00
Greedy Search,100002,18190,False,0.92,200,18.04,304.06,0.00
Greedy Search,100002,18251,True,1.00,165,14.88,305.08,0.00
Greedy Search,100002,18221,True,1.00,165,14.74,304.58,0.00
Greedy Search,100002,18206,False,0.94,200,18.05,304.33,0.00
Greedy Search,100002,18214,False,0.92,200,18.12,304.47,0.00
Greedy Search,100002,18218,True,1.00,179,16.01,304.53,0.00
Greedy Search,100002,18216,True,1.00,64,6.27,304.50,0.00
Greedy Search,100002,18215,True,1.00,89,8.38,304.48,0.00
Greedy Search,100003,1000000,True,1.00,71,393.11,16708.00,0.00
Greedy Search,100003,500000,True,1.00,68,184.25,8354.00,0.00
Greedy Search,100003,250000,True,1.00,71,94.92,4177.00,0.00
Greedy Search,100003,125000,True,1.00,75,49.44,2088.50,0.00
Greedy Search,100003,62500,True,1.00,63,21.38,1044.25,0.00
Greedy Search,100003,31250,True,1.00,60,10.28,522.12,0.00
Greedy Search,100003,15625,False,0.75,200,15.93,261.06,0.00
Greedy Search,100003,23438,True,1.00,75,9.26,391.60,0.00
Greedy Search,100003,19532,True,1.00,75,7.71,326.34,0.00
Greedy Search,100003,17579,False,0.83,200,17.85,293.71,0.00
Greedy Search,100003,18556,True,1.00,63,6.35,310.03,0.00
Greedy Search,100003,18068,True,1.00,81,7.70,301.88,0.00
Greedy Search,100003,17824,False,0.85,200,17.96,297.80,0.00
Greedy Search,100003,17946,False,0.89,200,17.93,299.84,0.00
Greedy Search,100003,18007,False,0.88,200,18.14,300.86,0.00
Greedy Search,100003,18038,False,0.89,200,18.13,301.38,0.00
Greedy Search,100003,18053,False,0.96,200,17.96,301.63,0.00
Greedy Search,100003,18061,False,0.87,200,18.29,301.76,0.00
Greedy Search,100003,18065,False,0.86,200,18.41,301.83,0.00
Greedy Search,100003,18067,True,1.00,187,16.76,301.86,0.00
Greedy Search,100003,18066,False,0.87,200,18.12,301.85,0.00
Greedy Search,100004,1000000,True,1.00,72,397.72,16734.00,0.00
Greedy Search,100004,500000,True,1.00,70,184.36,8367.00,0.00
Greedy Search,100004,250000,True,1.00,73,95.25,4183.50,0.00
