algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,scale
Greedy Search,100200,34181,True,1.00,70,12.90,76013.52,0.20
Greedy Search,100200,33693,True,1.00,70,12.72,74928.28,0.20
Greedy Search,100200,33449,True,1.00,71,12.80,74385.66,0.20
Greedy Search,100200,33327,False,0.96,200,33.92,74114.35,0.20
Greedy Search,100200,33388,True,1.00,71,12.91,74250.00,0.20
Greedy Search,100200,33358,True,1.00,60,11.07,74183.29,0.20
Greedy Search,100200,33343,True,1.00,71,12.89,74149.93,0.20
Greedy Search,100200,33335,True,1.00,51,9.63,74132.14,0.20
Greedy Search,100200,33331,True,1.00,70,12.69,74123.24,0.20
Greedy Search,100200,33329,True,1.00,71,12.81,74118.80,0.20
Greedy Search,100200,33328,False,0.96,200,33.78,74116.57,0.20
Greedy Search,100201,1000000,True,1.00,70,413.16,2230492.00,0.20
Greedy Search,100201,500000,True,1.00,50,147.99,1115246.00,0.20
Greedy Search,100201,250000,True,1.00,50,72.96,557623.00,0.20
Greedy Search,100201,125000,True,1.00,70,48.09,278811.50,0.20
Greedy Search,100201,62500,True,1.00,50,17.93,139405.75,0.20
Greedy Search,100201,31250,True,1.00,71,12.09,69702.88,0.20
Greedy Search,100201,15625,False,0.62,200,16.09,34851.44,0.20
Greedy Search,100201,23438,False,0.80,200,24.71,52278.27,0.20
Greedy Search,100201,27344,False,0.87,200,28.24,60990.57,0.20
Greedy Search,100201,29297,False,0.91,200,30.16,65346.72,0.20
Greedy Search,100201,30274,False,0.94,200,31.01,67525.91,0.20
Greedy Search,100201,30762,True,1.00,70,11.63,68614.39,0.20
Greedy Search,100201,30518,False,0.95,200,30.94,68070.15,0.20
Greedy Search,100201,30640,True,1.00,71,11.75,68342.27,0.20
Greedy Search,100201,30579,False,0.93,200,31.30,68206.21,0.20
Greedy Search,100201,30610,True,1.00,71,11.77,68275.36,0.20
Greedy Search,100201,30595,False,0.95,200,31.32,68241.90,0.20
Greedy Search,100201,30603,False,0.93,200,31.47,68259.75,0.20
Greedy Search,100201,30607,True,1.00,71,11.78,68268.67,0.20
Greedy Search,100201,30605,True,1.00,71,11.76,68264.21,0.20
