algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,confusion_matrix
Greedy Search,100003,27024,True,1.00,70,10.26,61334.89,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,27017,True,1.00,70,10.25,61319.00,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,27013,True,1.00,70,10.25,61309.92,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,27011,True,1.00,70,10.24,61305.38,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,27010,False,0.91,200,27.63,61303.11,../../data/gaussian_confusion_matrices/scale_0.00.csv
algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,confusion_matrix
Greedy Search,100004,1000000,True,1.00,71,384.54,2274064.00,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,500000,True,1.00,71,183.50,1137032.00,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,250000,True,1.00,70,90.00,568516.00,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,125000,True,1.00,50,33.82,284258.00,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,62500,True,1.00,71,22.84,142129.00,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,31250,True,1.00,60,9.92,71064.50,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,15625,False,0.68,200,15.09,35532.25,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,23438,False,0.87,200,22.99,53299.51,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,27344,True,1.00,71,10.07,62182.01,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,25391,False,0.88,200,24.93,57740.76,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,26368,False,0.91,200,25.82,59962.52,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,26856,True,1.00,50,7.33,61072.26,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,26612,True,1.00,71,9.82,60517.39,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,26490,False,0.95,200,25.87,60239.96,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,26551,False,0.91,200,25.94,60378.67,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,26582,True,1.00,71,9.83,60449.17,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,26567,False,0.95,200,25.86,60415.06,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,26575,False,0.94,200,25.87,60433.25,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,26579,True,1.00,67,9.36,60442.35,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,26577,True,1.00,67,9.37,60437.80,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100004,26576,True,1.00,67,9.37,60435.52,../../data/gaussian_confusion_matrices/scale_0.00.csv
algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,confusion_matrix
Greedy Search,100100,1000000,True,1.00,71,392.53,2271687.00,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,500000,True,1.00,71,186.84,1135843.50,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,250000,True,1.00,70,91.05,567921.75,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,125000,True,1.00,60,39.54,283960.88,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,62500,True,1.00,60,19.77,141980.44,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,31250,True,1.00,60,9.89,70990.22,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,15625,False,0.67,200,15.21,35495.11,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,23438,False,0.85,200,23.16,53243.80,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,27344,False,0.91,200,26.75,62117.01,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,29297,True,1.00,71,10.79,66553.61,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,28321,True,1.00,50,7.70,64336.45,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,27833,True,1.00,70,10.10,63227.86,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,27589,False,0.93,200,27.05,62673.57,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,27711,False,0.97,200,26.78,62950.72,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,27772,False,0.94,200,27.04,63089.29,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,27803,False,0.93,200,27.18,63159.71,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,27818,True,1.00,70,10.12,63193.79,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,27811,True,1.00,50,7.63,63177.89,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,27807,False,0.93,200,27.17,63168.80,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,27809,True,1.00,50,7.62,63173.34,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100100,27808,False,0.92,200,27.29,63171.07,../../data/gaussian_confusion_matrices/scale_0.10.csv
algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,confusion_matrix
Greedy Search,100101,1000000,True,1.00,70,384.84,2274454.00,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,500000,True,1.00,70,184.44,1137227.00,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,250000,True,1.00,50,68.29,568613.50,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,125000,True,1.00,60,39.78,284306.75,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,62500,True,1.00,71,22.86,142153.38,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,31250,True,1.00,71,11.47,71076.69,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,15625,False,0.66,200,15.23,35538.34,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,23438,False,0.88,200,22.95,53308.65,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,27344,True,1.00,70,9.88,62192.67,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,25391,True,1.00,71,9.31,57750.66,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,24415,False,0.93,200,23.87,55530.79,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,24903,True,1.00,71,9.18,56640.73,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,24659,True,1.00,70,8.96,56085.76,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,24537,True,1.00,70,8.94,55808.28,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,24476,True,1.00,50,6.67,55669.54,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,24446,False,0.95,200,23.73,55601.30,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,24461,True,1.00,70,8.92,55635.42,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,24454,False,0.95,200,23.75,55619.50,../../data/gaussian_confusion_matrices/scale_0.10.csv
